,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,labels
0,12,4,1859,15,9,4,12,1,4,1,0,0,58,38,0
1,38,2,3165,15,9,3,1,4,2,0,0,0,33,38,0
2,18,4,1573,15,9,2,3,0,4,1,0,0,43,38,0
3,15,4,7000,11,8,4,9,4,4,0,0,0,38,25,0
4,20,4,3722,11,8,2,7,0,4,1,0,0,44,38,0
5,19,4,5027,9,12,2,4,0,4,1,0,0,48,38,1
6,15,4,1039,11,8,2,14,0,4,1,0,0,58,38,1
7,37,4,406,11,8,2,14,0,4,1,0,0,48,38,1
8,58,4,6141,8,10,6,1,1,4,0,0,0,19,4,0
9,59,4,1687,11,8,6,8,4,4,0,0,0,31,38,0
10,32,4,3477,11,8,2,3,0,4,1,0,0,38,38,1
11,15,4,1693,11,8,2,1,5,4,0,0,0,19,38,0
12,3,0,5200,1,6,0,0,1,4,0,0,0,38,38,0
13,10,4,4150,7,11,4,10,1,4,1,0,0,38,38,0
14,34,4,5527,9,12,2,4,0,4,1,0,0,48,38,1
15,12,4,4298,9,12,2,4,5,4,0,0,0,48,38,1
16,2,4,6256,11,8,4,10,3,4,1,0,0,29,38,0
17,3,4,780,15,9,4,1,3,4,0,0,0,38,38,0
18,21,4,5762,11,8,0,1,4,4,0,0,0,46,38,0
19,12,4,5339,11,8,4,1,2,4,1,0,0,38,25,0
20,51,4,4105,9,12,2,12,0,4,1,92,0,38,38,1
21,14,6,1452,14,14,2,10,0,4,1,0,0,58,38,1
22,9,4,5697,9,12,4,12,1,1,1,0,0,19,34,0
23,32,2,6216,7,11,0,1,1,4,0,0,0,29,38,0
24,32,1,5002,11,8,2,1,0,4,1,0,0,38,38,1
25,21,4,6895,6,4,3,6,1,4,1,0,0,38,25,0
26,25,0,4629,12,13,2,0,5,4,0,0,32,46,38,1
27,22,4,6688,11,8,0,4,1,4,0,0,0,36,38,0
28,19,4,2850,11,8,2,3,0,4,1,0,0,42,38,0
29,33,6,5048,9,12,0,12,1,4,1,0,0,48,38,0
30,34,2,1690,12,13,2,10,0,4,1,0,0,58,38,1
31,4,7,477,15,9,4,4,3,4,1,0,17,9,38,0
32,34,6,5495,15,9,2,12,0,4,1,0,0,58,38,0
33,18,4,5799,15,9,2,12,0,4,1,0,0,38,38,0
34,20,2,4883,8,10,4,8,4,2,0,0,0,30,38,0
35,7,4,717,9,12,4,1,1,4,0,0,0,29,38,0
36,0,4,4463,0,5,4,6,2,4,1,0,0,9,8,0
37,34,4,1413,5,3,2,14,0,2,1,0,0,38,38,0
38,21,4,6943,11,8,2,4,5,4,0,77,0,38,38,1
39,4,4,5929,11,8,4,3,1,4,1,0,0,33,38,0
40,41,4,5478,8,10,2,3,0,4,1,0,0,38,38,1
41,25,4,4036,15,9,0,3,1,4,1,0,0,36,38,0
42,10,4,3417,4,2,4,9,2,4,0,21,0,38,8,0
43,20,2,5656,15,9,3,1,4,2,0,0,0,26,38,0
44,9,4,6292,11,8,5,8,1,4,1,0,0,38,38,0
45,27,1,1276,11,8,0,3,4,4,1,0,0,38,38,0
46,46,5,572,12,13,2,12,0,4,1,0,0,65,38,1
47,26,4,958,8,10,2,12,0,4,1,0,0,43,38,0
48,16,2,1814,11,8,2,1,5,4,0,0,0,58,38,0
49,34,4,1102,11,8,0,3,1,4,1,0,0,38,38,0
50,52,0,4243,14,14,2,0,5,4,0,0,0,24,0,0
51,41,4,1506,11,8,6,1,1,4,0,0,0,38,38,1
52,2,0,1625,11,8,4,0,3,2,1,0,0,9,38,0
53,7,4,5573,1,6,4,3,1,4,1,0,0,38,38,0
54,30,4,5795,11,8,5,3,4,2,0,0,0,38,38,0
55,27,2,6687,2,7,2,6,0,4,1,0,0,38,38,0
56,29,4,5289,9,12,2,10,0,4,1,0,0,38,38,1
57,12,4,6476,9,12,4,12,3,4,0,0,0,38,38,0
58,23,4,1539,9,12,2,6,0,4,1,0,0,71,38,1
59,8,4,704,11,8,0,6,3,1,0,0,0,38,29,0
60,30,4,4220,15,9,2,10,0,4,1,0,0,38,38,1
61,21,6,6409,11,8,2,3,0,4,1,56,0,38,38,0
62,37,4,2444,11,8,2,1,0,4,1,0,0,52,38,1
63,27,4,5752,11,8,2,12,0,4,1,0,33,38,38,1
64,38,4,3672,8,10,2,14,0,4,1,67,0,48,38,1
65,37,4,2378,11,8,0,12,4,4,0,0,0,33,38,0
66,3,4,5906,11,8,4,8,2,4,1,0,0,38,38,0
67,26,4,1961,9,12,2,1,0,1,1,0,0,38,39,0
68,35,2,2223,11,8,2,8,5,2,0,0,0,19,38,0
69,28,4,81,15,9,4,5,2,4,1,0,0,48,38,0
70,18,4,1720,9,12,4,4,1,4,1,0,0,48,38,0
71,43,5,4588,9,12,2,10,0,4,1,77,0,38,38,1
72,17,4,605,11,8,2,5,0,4,1,0,0,58,38,1
73,26,4,1566,15,9,2,4,0,4,1,0,0,38,38,0
74,17,4,6718,9,12,4,10,1,4,1,29,0,48,10,0
75,15,4,3711,1,6,0,8,4,4,0,0,0,38,38,0
76,29,4,929,7,11,2,7,0,4,1,0,0,38,38,1
77,7,4,932,9,12,4,4,1,4,1,0,0,38,38,0
78,48,4,1608,7,11,2,4,0,4,1,52,0,38,38,0
79,12,4,5738,11,8,4,10,1,4,0,0,0,48,38,0
80,7,4,5831,9,12,2,10,0,4,1,0,0,38,38,0
81,1,4,632,11,8,4,12,3,4,0,0,0,14,38,0
82,5,7,5582,15,9,4,8,2,2,1,0,0,37,14,0
83,13,4,3891,11,8,2,7,0,4,1,0,0,38,38,1
84,23,6,3005,12,13,2,12,0,4,1,40,0,48,38,0
85,25,2,1141,11,8,2,4,0,4,1,0,0,58,38,1
86,38,6,5685,11,8,2,8,0,4,1,0,0,38,38,0
87,3,4,6034,15,9,4,6,3,2,1,0,0,38,11,0
88,6,4,4314,9,12,2,1,2,4,0,0,0,38,38,0
89,7,7,2994,12,13,4,10,1,4,1,0,0,12,38,0
90,2,7,6641,11,8,4,13,3,4,0,0,0,38,38,0
91,26,4,2166,12,13,0,4,1,4,0,0,0,48,38,1
92,8,4,4329,11,8,4,4,3,4,0,0,0,38,38,0
93,23,4,1207,11,8,2,8,5,4,0,0,0,11,38,0
94,15,4,3344,15,9,0,4,2,4,1,0,0,58,38,0
95,20,4,4972,15,9,2,12,0,4,1,0,0,42,38,1
96,10,4,3525,11,8,2,7,0,4,1,0,0,38,38,0
97,24,4,1427,11,8,2,7,0,4,1,0,0,38,38,0
98,33,2,146,12,13,2,10,0,4,1,0,0,48,38,0
99,17,4,5304,11,8,4,7,4,2,1,0,0,38,38,0
